date,sales
2023-01-01,104.96714153011233
2023-01-02,99.09898674876749
2023-01-03,107.44004288818711
2023-01-04,116.67477982063325
2023-01-05,99.5839653382636
2023-01-06,100.06473959207031
2023-01-07,118.67833792819843
2023-01-08,111.04004665105461
2023-01-09,99.14973268181687
2023-01-10,109.74804058540902
2023-01-11,100.16531232913131
2023-01-12,100.61822567215133
2023-01-13,108.17006436138438
2023-01-14,87.09134209921962
2023-01-15,89.44735391806559
2023-01-16,101.54463017035357
2023-01-17,97.50865414514007
2023-01-18,111.24728681872975
2023-01-19,99.49071121044113
2023-01-20,94.91224633038449
2023-01-21,124.15419842835055
2023-01-22,107.70037482327747
2023-01-23,111.09175092667073
2023-01-24,96.62512692207824
2023-01-25,105.88263583557094
2023-01-26,112.88716388341093
2023-01-27,100.71700464821417
2023-01-28,116.43035822705615
2023-01-29,107.11077236502281
2023-01-30,110.64125578789948
2023-01-31,107.9793240017847
2023-02-01,132.95444248037322
2023-02-02,114.72894429553607
2023-02-03,104.71596117417403
2023-02-04,123.94448505471394
2023-02-05,103.93329093380444
2023-02-06,118.64969636417852
2023-02-07,97.38025008283509
2023-02-08,104.10745713309844
2023-02-09,119.76669018465144
2023-02-10,125.58781731226314
2023-02-11,120.31814216446746
2023-02-12,117.84544031019394
2023-02-13,116.38442882735941
2023-02-14,104.99979148475511
2023-02-15,112.97204313840454
2023-02-16,115.94542605471892
2023-02-17,131.50014698415137
2023-02-18,124.73792994837092
2023-02-19,104.039809431073
2023-02-20,125.27508773165107
2023-02-21,118.5429682390101
2023-02-22,115.97955416121306
2023-02-23,129.215895803764
2023-02-24,133.75479940603546
2023-02-25,133.09852742625426
2023-02-26,115.7296635261296
2023-02-27,121.36095909847435
2023-02-28,128.09203539375818
2023-03-01,134.85618870616975
2023-03-02,120.62529502882141
2023-03-03,123.87165820707465
2023-03-04,114.97096787930809
2023-03-05,114.37313011190673
2023-03-06,134.75609394434173
2023-03-07,140.48358910732452
2023-03-08,126.48610910618345
